AIR	    AIR	    AIR	    AIR	    BRICK	    AIR	    AIR	    AIR	    BRICK	    AIR	    AIR	    AIR	    AIR
AIR	    TREE	    TREE	    TREE	    BRICK	    AIR	    AIR	    AIR	    AIR	    AIR	    WALL	    WALL	    WALL
BRICK	TREE	    TREE	    TREE	    AIR	    AIR	    AIR	    AIR	    AIR	    AIR	    AIR	    AIR	    AIR
TREE	    TREE	    TREE	    TREE	    AIR	    AIR	    AIR	    BRICK	    AIR	    BRICK	    BRICK	    BRICK	    BRICK
TREE	    TREE	    TREE	    TREE	    BRICK	    BRICK	    BRICK	    BRICK	    AIR	    BRICK	    AIR	    BRICK	    AIR
TREE	    TREE	    TREE	    TREE	    AIR	    AIR	    BRICK	    AIR	    AIR	    AIR	    AIR	    BRICK	    AIR
AIR	    TREE	    AIR	    AIR	    AIR	    AIR	    WALL	    WALL	    WALL	    AIR	    AIR	    TREE	    AIR
AIR	    BRICK	    AIR	    BRICK	    AIR	    AIR	    AIR	    AIR	    AIR	    TREE	    TREE	    TREE	    TREE
BRICK	    BRICK	    BRICK	    BRICK	    BRICK	    BRICK	    BRICK	    BRICK	    BRICK	    TREE	    TREE	    TREE	    TREE
AIR	    AIR	    AIR	    AIR	    AIR	    BRICK	    AIR	    BRICK	    BRICK	    TREE	    TREE	    TREE	    TREE
BRICK	    AIR	    AIR	    WALL	    AIR	    AIR	    AIR	    BRICK	    BRICK	    TREE	    TREE	    TREE	    AIR
BRICK	    BRICK	    AIR	    WALL	    AIR	    BRICK	    BRICK	    BRICK	    AIR	    TREE	    TREE	    TREE	    AIR
WALL	    BRICK	    BRICK	    AIR	    AIR	    BRICK	    EAGLE	    BRICK	    AIR	    BRICK	    AIR	    AIR	    AIR
